#
# ANDICAM J-band Filter
#
# Manufacturer's Transmission Curve
#
#   Lam (um)     Trans(%)
11430         0.000   
11440         0.205 
11450         0.419 
11460         0.572 
11470         0.690 
11480         0.877 
11490         1.318 
11500         1.966 
11510         2.359 
11520         2.676 
11530         3.348 
11540         4.458 
11550         5.793 
11560         7.086 
11570         9.261 
11580        11.799 
11600        15.504 
11610        20.085 
11620        24.417 
11630        32.549 
11640        37.869 
11650        42.493 
11660        57.447 
11670        61.135 
11680        72.562 
11690        78.223 
11700        79.590 
11710        84.584 
11720        83.707 
11730        81.721 
11740        80.688 
11750        79.504 
11760        78.842 
11770        78.631 
11780        78.621 
11790        78.673 
11800        78.872 
11810        79.383 
11820        79.905 
11830        80.140 
11840        80.587 
11850        81.308 
11860        81.593 
11870        81.629 
11890        81.749 
11900        81.800 
11910        81.701 
11920        81.646 
11930        81.736 
11940        81.855 
11950        81.934 
11960        82.050 
11970        82.363 
11980        83.056 
11990        83.565 
12000        83.775 
12010        84.886 
12020        86.061 
12030        86.308 
12040        86.635 
12050        86.945 
12060        87.108 
12070        87.241 
12080        87.264 
12090        86.898 
12100        86.291 
12110        85.758 
12120        85.330 
12130        84.839 
12140        84.082 
12150        83.358 
12160        82.819 
12170        82.332 
12190        81.972 
12200        81.843 
12210        81.800 
12220        81.735 
12230        81.765 
12240        81.941 
12250        82.172 
12260        82.447 
12270        82.880 
12280        83.385 
12290        83.763 
12300        84.195 
12310        84.757 
12320        85.206 
12330        85.467 
12340        85.624 
12350        85.696 
12360        85.690 
12370        85.718 
12380        85.840 
12390        85.888 
12400        85.752 
12410        85.623 
12420        85.627 
12430        85.676 
12440        85.690 
12450        85.632 
12460        85.572 
12480        85.694 
12490        85.916 
12500        86.014 
12510        86.153 
12520        86.603 
12530        87.075 
12540        87.296 
12550        87.602 
12560        88.124 
12570        88.640 
12580        89.120 
12590        89.576 
12600        89.894 
12610        90.059 
12620        90.165 
12630        90.423 
12640        91.024 
12650        91.564 
12660        91.780 
12670        91.949 
12680        92.180 
12690        92.422 
12700        92.612 
12710        92.688 
12720        92.655 
12730        92.559 
12740        92.491 
12750        92.518 
12760        92.489 
12780        92.259 
12790        91.881 
12800        91.447 
12810        91.048 
12820        90.760 
12830        90.574 
12840        90.309 
12850        89.796 
12860        89.245 
12870        88.800 
12880        88.452 
12890        88.188 
12900        87.982 
12910        87.781 
12920        87.553 
12930        87.314 
12940        87.119 
12950        87.055 
12960        87.028 
12970        86.830 
12980        86.589 
12990        86.518 
13000        86.390 
13010        85.989 
13020        85.550 
13030        85.206 
13040        84.741 
13050        84.212 
13060        83.865 
13080        83.662 
13090        83.474 
13100        83.305 
13110        83.244 
13120        83.476 
13130        84.040 
13140        84.732 
13150        85.582 
13160        86.692 
13170        87.921 
13180        88.645 
13190        88.691 
13200        88.048 
13210        86.214 
13220        83.825 
13230        78.088 
13240        66.536 
13250        59.073 
13260        47.496 
13270        39.466 
13280        32.202 
13290        27.561 
13300        15.829 
13310        10.868 
13320        12.713 
13330         8.996 
13340         8.246 
13350         5.939 
13370         4.672 
13380         4.323 
13390         3.240 
13400         2.852 
13410         2.161 
13420         1.586 
13430         1.436 
13440         1.264 
13450         0.982 
13460         0.797 
13470         0.719 
13480         0.682 
13490         0.561 
13500         0.308 
13510         0.000       
