#
# ANDICAM H-band Filter
#
# Manufacturer's Transmission Curve
#
#   Lam (um)     Trans(%)
14440      0.0000   
14450     0.007227
14460     0.031000
14470     0.141065    
14480     0.27300   
14490     0.371922    
14500     0.439368    
14510     0.49100   
14520     0.543324    
14530     0.616113    
14540     0.73000   
14550     0.906659    
14560      1.1720   
14570      1.53636    
14580      1.94305    
14590      2.33314    
14600      2.70592    
14610      3.0750   
14620      3.46905    
14630      3.97610    
14640      4.6990   
14650      5.71156    
14660      6.9700   
14670      8.38228    
14680      9.7780   
14690      11.0140    
14700      12.1343    
14710      13.2290    
14720      14.4024    
14730      15.8123    
14740      17.630   
14750      19.9843    
14760      22.830   
14770      26.0252    
14780      29.2080    
14790      32.0253    
14800      34.3804    
14810      36.2392    
14820      37.6902    
14830      39.3114    
14840      41.8020    
14850      45.6239    
14860      50.2836    
14870      55.0551    
14880      59.240   
14890      62.3351    
14900      64.6034    
14910      66.4980    
14920      68.4199    
14930      70.5623    
14940      73.0650    
14950      75.9752    
14960      78.9630    
14970      81.6087    
14980      83.510   
14990      84.4127    
15000      84.6450    
15010      84.680   
15020      84.8888    
15030      85.2335    
15040      85.5740    
15050      85.7929    
15060      85.8630    
15070      85.7948    
15080      85.6580    
15090      85.5225    
15100      85.3992    
15110      85.2840    
15120      85.1753    
15130      85.0809    
15140      85.0110    
15150      84.9844    
15160      85.0540    
15170      85.2543    
15180      85.5110    
15190      85.7510    
15200      86.0137    
15210      86.3670    
15220      86.8379    
15230      87.2920    
15240      87.5984    
15250      87.8033    
15260      87.9970    
15270      88.2395    
15280      88.4690    
15290      88.6141    
15300      88.6875    
15310      88.7230    
15320      88.7474    
15330      88.760   
15340      88.7503    
15350      88.6978    
15360      88.5790    
15370      88.3866    
15380      88.1770    
15390      88.0020    
15400      87.8325    
15410      87.6190    
15420      87.3373    
15430      87.0630    
15440      86.8722    
15450      86.7424    
15460      86.6260    
15470      86.4916    
15480      86.3710    
15490      86.3030    
15500      86.2913    
15510      86.3310    
15520      86.4125    
15530      86.5080    
15540      86.5968    
15550      86.7051    
15560      86.8710    
15570      87.1109    
15580      87.3550    
15590      87.5387    
15600      87.7050    
15610      87.9240    
15620      88.2361    
15630      88.5640    
15640      88.8236    
15650      89.0214    
15660      89.1870    
15670      89.3451    
15680      89.5024    
15690      89.6610    
15700      89.8177    
15710      89.9490    
15720      90.0321    
15730      90.0680    
15740      90.0641    
15750      90.0284    
15760      89.9690    
15770      89.8890    
15780      89.7719    
15790      89.5960    
15800      89.3519    
15810      89.0790    
15820      88.8237    
15830      88.6120    
15840      88.4576    
15850      88.3476    
15860      88.2620    
15870      88.1839    
15880      88.1080    
15890      88.0320    
15900      87.9548    
15910      87.8810    
15920      87.8173    
15930      87.7730    
15940      87.7555    
15950      87.7617    
15960      87.7860    
15970      87.8265    
15980      87.8958    
15990      88.010   
16000      88.1789    
16010      88.3870    
16020      88.6108    
16030      88.8210    
16040      88.9943    
16050      89.1386    
16060      89.2690    
16070      89.3995    
16080      89.5375    
16090      89.6890    
16100      89.8514    
16110      89.9880    
16120      90.0652    
16130      90.0960    
16140      90.1026    
16150      90.0983    
16160      90.0940    
16170      90.0950    
16180      90.0844    
16190      90.040   
16200      89.9325    
16210      89.7060    
16220      89.3339    
16230      88.9350    
16240      88.6237    
16250      88.3520    
16260      88.0310    
16270      87.6112    
16280      87.1990    
16290      86.8949    
16300      86.6194    
16310      86.2480    
16320      85.7109    
16330      85.1570    
16340      84.7466    
16350      84.4651    
16360      84.2540    
16370      84.0616    
16380      83.8628    
16390      83.6390    
16400      83.380   
16410      83.1080    
16420      82.8541    
16430      82.650   
16440      82.5192    
16450      82.4505    
16460      82.4240    
16470      82.4215    
16480      82.4310    
16490      82.4472    
16500      82.4864    
16510      82.570   
16520      82.7073    
16530      82.8580    
16540      82.9884    
16550      83.1407    
16560      83.3760    
16570      83.7228    
16580      84.0780    
16590      84.3434    
16600      84.5694    
16610      84.8440    
16620      85.2164    
16630      85.5810    
16640      85.8321    
16650      86.0183    
16660      86.2270    
16670      86.5127    
16680      86.7990    
16690      87.0042    
16700      87.1552    
16710      87.3060    
16720      87.4896    
16730      87.6540    
16740      87.7442    
16750      87.7767    
16760      87.7860    
16770      87.7998    
16780      87.8180    
16790      87.8343    
16800      87.8447    
16810      87.8460    
16820      87.8361    
16830      87.8180    
16840      87.7933    
16850      87.7522    
16860      87.6820    
16870      87.5774    
16880      87.4630    
16890      87.3641    
16900      87.2798    
16910      87.2030    
16920      87.1267    
16930      87.0462    
16940      86.9570    
16950      86.8607    
16960      86.7820    
16970      86.7439    
16980      86.7410    
16990      86.7613    
17000      86.7962    
17010      86.8380    
17020      86.8788    
17030      86.9110    
17040      86.9270    
17050      86.9239    
17060      86.9170    
17070      86.9232    
17080      86.9460    
17090      86.9842    
17100      87.0314    
17110      87.080   
17120      87.1203    
17130      87.1348    
17140      87.1040    
17150      87.0109    
17160      86.8490    
17170      86.6237    
17180      86.3780    
17190      86.1532    
17200      85.9471    
17210      85.7470    
17220      85.5350    
17230      85.2745    
17240      84.9240    
17250      84.4585    
17260      83.9199    
17270      83.3686    
17280      82.8720    
17290      82.4819    
17300      82.1784    
17310      81.9240    
17320      81.6850    
17330      81.4428    
17340      81.1830    
17350      80.8985    
17360      80.6130    
17370      80.3555    
17380      80.1470    
17390      79.9999    
17400      79.9015    
17410      79.8330    
17420      79.7797    
17430      79.7444    
17440      79.7340    
17450      79.7573    
17460      79.830   
17470      79.9576    
17480      80.0980    
17490      80.2178    
17500      80.3666    
17510      80.6150    
17520      80.9965    
17530      81.3970    
17540      81.6981    
17550      81.9121    
17560      82.0840    
17570      82.2426    
17580      82.3530    
17590      82.3783    
17600      82.3388    
17610      82.2690    
17620      82.1906    
17630      82.0745    
17640      81.8790    
17650      81.5507    
17660      80.9890    
17670      80.1046    
17680      78.8990    
17690      77.4501    
17700      76.0527    
17710      75.0550    
17720      74.6215    
17730      74.1790    
17740      73.0718    
17750      71.0533    
17760      67.9780    
17770      63.8571    
17780      59.3250    
17790      55.0373    
17800      51.1192    
17810      47.5610    
17820      44.3064    
17830      41.1067    
17840      37.6640    
17850      33.7587    
17860      29.4760    
17870      25.0736    
17880      21.1860    
17890      18.3332    
17900      16.2062    
17910      14.2880    
17920      12.2330    
17930      10.3840    
17940      9.10320    
17950      8.14651    
17960      7.1180   
17970      5.78005    
17980      4.5300   
17990      3.78186    
18000      3.38467    
18010      3.0460   
18020      2.56027    
18030      2.0700   
18040      1.74809    
18050      1.54230    
18060      1.3440   
18070      1.08086    
18080     0.82600   
18090     0.661180    
18100     0.557888    
18110     0.46000   
18120     0.328378    
18130     0.19200   
18140     0.085702
